file,processed,processed_time
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_090219.wav,true,2020-05-23T14:16:53.021
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_091219.wav,true,2020-05-23T14:17:02.309
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_092219.wav,true,2020-05-23T14:17:18.402
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_093219.wav,true,2020-05-23T14:17:23.98
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_094219.wav,true,2020-05-23T14:17:38.664
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_095219.wav,true,2020-05-23T14:17:44.179
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_100219.wav,true,2020-05-23T14:17:59.04
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_101219.wav,true,2020-05-23T14:18:05.884
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_102219.wav,true,2020-05-23T14:18:21.959
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_103219.wav,true,2020-05-23T14:18:27.806
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_104219.wav,true,2020-05-23T14:18:44.552
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_105219.wav,true,2020-05-23T14:18:48.51
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_110219.wav,true,2020-05-23T14:19:06.017
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_111219.wav,true,2020-05-23T14:19:10.658
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_112219.wav,true,2020-05-23T14:19:27.283
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_113219.wav,true,2020-05-23T14:19:32.578
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_114219.wav,true,2020-05-23T14:19:48.999
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_115219.wav,true,2020-05-23T14:19:52.843
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_120219.wav,true,2020-05-23T14:20:09.124
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_121219.wav,true,2020-05-23T14:20:13.247
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_122219.wav,true,2020-05-23T14:20:29.814
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_123219.wav,true,2020-05-23T14:20:33.837
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_124219.wav,true,2020-05-23T14:20:51.995
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_125219.wav,true,2020-05-23T14:20:59.055
