file,time,date,processed_time
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_063219.wav_clicks.jld2,2020-05-01T06:32:19.0,2020-05-01,2020-05-23T14:14:05.9
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_064219.wav_clicks.jld2,2020-05-01T06:42:19.0,2020-05-01,2020-05-23T14:14:21.815
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_065219.wav_clicks.jld2,2020-05-01T06:52:19.0,2020-05-01,2020-05-23T14:14:28.782
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_070219.wav_clicks.jld2,2020-05-01T07:02:19.0,2020-05-01,2020-05-23T14:14:44.64
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_071219.wav_clicks.jld2,2020-05-01T07:12:19.0,2020-05-01,2020-05-23T14:14:50.572
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_072219.wav_clicks.jld2,2020-05-01T07:22:19.0,2020-05-01,2020-05-23T14:15:05.222
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_073219.wav_clicks.jld2,2020-05-01T07:32:19.0,2020-05-01,2020-05-23T14:15:14.033
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_074219.wav_clicks.jld2,2020-05-01T07:42:19.0,2020-05-01,2020-05-23T14:15:28.284
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_075219.wav_clicks.jld2,2020-05-01T07:52:19.0,2020-05-01,2020-05-23T14:15:37.139
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_080219.wav_clicks.jld2,2020-05-01T08:02:19.0,2020-05-01,2020-05-23T14:15:51.652
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_081219.wav_clicks.jld2,2020-05-01T08:12:19.0,2020-05-01,2020-05-23T14:15:58.687
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_082219.wav_clicks.jld2,2020-05-01T08:22:19.0,2020-05-01,2020-05-23T14:16:11.43
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_083219.wav_clicks.jld2,2020-05-01T08:32:19.0,2020-05-01,2020-05-23T14:16:19.658
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_084219.wav_clicks.jld2,2020-05-01T08:42:19.0,2020-05-01,2020-05-23T14:16:32.646
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_085219.wav_clicks.jld2,2020-05-01T08:52:19.0,2020-05-01,2020-05-23T14:16:40.973
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_090219.wav_clicks.jld2,2020-05-01T09:02:19.0,2020-05-01,2020-05-23T14:16:53.021
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_091219.wav_clicks.jld2,2020-05-01T09:12:19.0,2020-05-01,2020-05-23T14:17:02.309
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_092219.wav_clicks.jld2,2020-05-01T09:22:19.0,2020-05-01,2020-05-23T14:17:18.402
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_093219.wav_clicks.jld2,2020-05-01T09:32:19.0,2020-05-01,2020-05-23T14:17:23.98
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_094219.wav_clicks.jld2,2020-05-01T09:42:19.0,2020-05-01,2020-05-23T14:17:38.664
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_095219.wav_clicks.jld2,2020-05-01T09:52:19.0,2020-05-01,2020-05-23T14:17:44.179
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_100219.wav_clicks.jld2,2020-05-01T10:02:19.0,2020-05-01,2020-05-23T14:17:59.04
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_101219.wav_clicks.jld2,2020-05-01T10:12:19.0,2020-05-01,2020-05-23T14:18:05.884
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_102219.wav_clicks.jld2,2020-05-01T10:22:19.0,2020-05-01,2020-05-23T14:18:21.959
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_103219.wav_clicks.jld2,2020-05-01T10:32:19.0,2020-05-01,2020-05-23T14:18:27.806
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_104219.wav_clicks.jld2,2020-05-01T10:42:19.0,2020-05-01,2020-05-23T14:18:44.552
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_105219.wav_clicks.jld2,2020-05-01T10:52:19.0,2020-05-01,2020-05-23T14:18:48.51
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_110219.wav_clicks.jld2,2020-05-01T11:02:19.0,2020-05-01,2020-05-23T14:19:06.017
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_111219.wav_clicks.jld2,2020-05-01T11:12:19.0,2020-05-01,2020-05-23T14:19:10.658
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_112219.wav_clicks.jld2,2020-05-01T11:22:19.0,2020-05-01,2020-05-23T14:19:27.283
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_113219.wav_clicks.jld2,2020-05-01T11:32:19.0,2020-05-01,2020-05-23T14:19:32.578
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_114219.wav_clicks.jld2,2020-05-01T11:42:19.0,2020-05-01,2020-05-23T14:19:48.999
